"fc.raw.file"	"EVD:~Contaminants~\"[1]\""	"EVD:~Pep~Intensity~(\">23.0\")~\"[2]\""	"EVD:~Charge~\"[3]\""	"MS^2*Scans:~TopN~high~\"[4]\""	"MS^2*Scans:~TopN~over~RT~\"[5]\""	"EVD:~ID~rate~over~RT~\"[6]\""	"EVD:~RT~Peak~Width~\"[7]\""	"MS^2*Scans:~Ion~Inj~Time~\"[8]\""	"MS^2*Scans:~Intensity~\"[9]\""	"EVD:~MS^2~Oversampling~\"[10]\""	"EVD:~MS~Cal-Pre~(20.0)~\"[11]\""	"EVD:~MS~Cal-Post~\"[12]\""	"MS^2*Scans:~TopN~ID~over~N~\"[13]\""	"EVD:~Pep~Missing~Values~\"[14]\""	"EVD:~Pep~Count~(\">15000\")~\"[15]\""	"EVD:~Prot~Count~(\">3500\")~\"[16]\""	"Average~Overall~Quality"
"file 054"	0.245059272093498	0.28495192527771	0.961067411562637	0.224370015948963	0.324244015131342	0.534629416455983	0.961183575585646	0.00103638876093966	0.397730790198882	0.841341795104261	0.970961	0.999460218758784	0.699924673153663	0.0372447512223181	0.0690666666666667	0.074	0.476641994745081
"file 055"	0.0665259916684704	0.572252273559571	0.98905503153325	0.0940324295587454	0.617354338889282	0.615324812774641	0.53545745272525	0.00498414136837336	0.390195571783448	0.908965517241379	0.75051	0.999879313341728	0.641870318491488	0.0219298245614035	0.0406666666666667	0.076	0.457812730260231
"file 056"	0.764298261696825	1	0.872769031213417	0.561523189997466	0.440907833211326	0.591715241277082	0.635904976935105	0.010970115891193	0.96583537110836	0.959532431230544	0.765825	0.999960377166469	0.770793593452846	0.512366983031349	0.950133333333333	0.606571428571429	0.713069198007297
"file 057"	0.366413643724838	0.546562671661377	0.991346187210641	0.0989083587630163	0.67322806322479	0.627716470897186	0.590146154291113	0.00228357899107328	0.422583280663674	0.916317991631799	0.73923	0.999925108850233	0.774842636897823	0.0559390278976129	0.103733333333333	0.139428571428571	0.503037817466693
"file 058"	0.711188793477764	0.949078798294068	0.942788611787827	0.403298625233873	0.326279970546831	0.629842440437564	0.594218393613555	0.00254248628395557	0.655512526345297	0.962896289628963	0.765775	0.999996605356007	0.759238833159252	0.331967213114754	0.6156	0.494285714285714	0.634031893847839
"file 059"	0.27721534195364	0.133347511291504	0.97117172157521	0.228174758804612	0.518211740683928	0.597575257843656	0.939776156573203	0.000186219739292365	1	0.848319709355132	0.9725945	0.99952617416232	0.685465038057349	0.0366695427092321	0.068	0.0877142857142857	0.52274674740396
"file 060"	0.493798088587331	0.303119421005249	0.930938594574214	0.270370593915983	0.614055688949581	0.579318205080525	0.884052083954445	0.000373726992432028	1	0.921441774491682	0.970423	0.999183456069711	0.763722907462625	0.0746692551049755	0.138466666666667	0.147142857142857	0.568192269999892
"file 061"	0.266181412645627	0.142502784729004	0.918114379919794	0.222515955032177	0.543111549433322	0.612609586961755	0.888362985832886	0.000291149068322981	1	0.836107554417414	0.969905	0.99999910440093	0.572449877477735	0.0261360368133448	0.0484666666666667	0.0668571428571429	0.507100699141008
"file 062"	0.298781257725592	0.483280420303345	0.959457760013748	0.33510081173082	0.21821365318929	0.52959956923972	0.918251706579606	0.00337666722944454	0.642615819354811	0.902242668200115	0.995649925	0.999842701136562	0.70656230332366	0.114574345700316	0.212466666666667	0.226571428571429	0.53416173149782
"file 063"	0.742127683940971	1	0.861613955986195	0.558575145087052	0.477092874032409	0.561739124744998	0.571354391411882	0.0104446336192784	0.947073975041685	0.96026101141925	0.88482	0.999999235400759	0.782942284266843	0.489430543572045	0.9076	0.586285714285714	0.708835035800568
"file 064"	0.671494439448569	0.62401294708252	0.958227112159603	0.118063184526782	0.583625704466871	0.619590075638964	0.477355072463768	0.00243783520234032	0.436281505056209	0.93816425120773	0.807165	0.996704312431642	0.733319013337191	0.0663646821972965	0.123066666666667	0.12	0.517241987617884
"file 065"	0.318350210162682	0.210577249526978	0.976858309172491	0.286487162648153	0.623127888562239	0.577695137461823	0.861283856860717	0.000461084470675028	1	0.811224489795918	0.97049225	0.999235872454943	0.623928255029899	0.0454774230658614	0.0843333333333333	0.084	0.529595782659107
"file 066"	0.560350957383572	0.34688115119934	0.974945190577917	0.284384823679542	0.695586949727871	0.546377326831849	0.885946401052759	0.00064647210934614	1	0.847557702630166	0.98443975	0.999954422590378	0.6510164798623	0.0601452401495542	0.111533333333333	0.1	0.565610387570496
"file 067"	0.553382472454543	0.69648027420044	0.986789021681033	0.114405076124386	0.596279236946695	0.623674281098406	0.49685960591133	0.00209292591042277	0.42944033441629	0.957142857142857	0.7740175	0.999441652507763	0.740276634766791	0.0669758412424504	0.1242	0.142857142857143	0.519019678578784
"file 068"	0.265977552337117	0.34182071685791	0.999677125066636	0.184839781858079	0.336303106465074	0.57809861993102	0.941498912418944	0.0013588802826471	0.364542594171788	0.814249363867684	0.970554	0.998162104352379	0.683923666281578	0.0267831463905666	0.0496666666666667	0.0642857142857143	0.476358871952113
"file 069"	0.466741551330676	0.311481952667236	0.991252676528087	0.2280099700177	0.245062243853918	0.563125783437041	0.962896191057787	0.00154460033466341	0.442022786724687	0.876020786933927	0.97457875	0.999694071867937	0.724921939647235	0.0460526315789474	0.0854	0.102285714285714	0.501318228141597
"file 070"	0.343484968826558	0.249701738357544	0.994067573830735	0.165229457825354	0.366195527430856	0.578187430602192	0.92831541218638	0.000606612071580224	0.328588408486091	0.880208333333333	0.9717995	0.999304099573239	0.673959489042247	0.019772792637331	0.0366666666666667	0.0445714285714286	0.473791214965096
"file 071"	0.209385922905727	0.340509414672852	0.999677125066636	0.23722441697464	0.250929691927021	0.541324188828299	0.966210606377296	0.00252802813805232	0.463834462652591	0.850251979841613	0.9789205	0.999813496141962	0.678155630719835	0.0453695714696577	0.0841333333333333	0.0971428571428571	0.484088201637023
"file 072"	0.183466211253422	0.31360387802124	0.996668282108734	0.164043135361339	0.394184013830696	0.596022284027135	0.968071263333762	0.000891398009211113	0.34014143864482	0.816733067729084	0.983372	0.993854944865345	0.673022380784811	0.0169327006039689	0.0314	0.0471428571428571	0.469971865982277
"file 073"	0.267527661612972	0.388479232788086	0.976228452122225	0.166349206349206	0.413574346644615	0.574159164035043	0.962583882740758	0.00122081489394171	0.360074796452363	0.821167883211679	0.97981675	0.99215381740223	0.647512962919718	0.0183707218866839	0.0340666666666667	0.0422857142857143	0.477848254625744
"file 074"	0.407723263448848	0.367331504821778	0.997376427867744	0.239547788922207	0.243360566358212	0.555118954003931	0.958548899033944	0.00235932523298337	0.465264221127978	0.834204630321135	0.9821245	0.998252962319028	0.727200845983458	0.0446505608283003	0.0828	0.0925714285714286	0.499902242427561
"file 075"	0.398258268225983	0.388318300247193	0.963285367345736	0.276886412459721	0.24111811039468	0.545384066667846	0.949295013704406	0.00193541815218499	0.464476572192003	0.822875816993464	0.978002	0.999560093358672	0.708718569608679	0.050186942766753	0.0930666666666667	0.0868571428571429	0.498014047602571
"file 076"	0.275320911662412	0.394546985626221	0.98408855086206	0.204770253729862	0.315502167895846	0.558522679520894	0.941826814750836	0.00128518185323223	0.386668704012788	0.811408614668219	0.977625	0.997692083402623	0.659184022373006	0.0282930687374173	0.0524666666666667	0.0614285714285714	0.478164392324416
"file 077"	0.069843453217215	0.354021787643432	0.998465194686214	0.141182916806186	0.444958802825494	0.599827947560013	0.908631236681608	0.00109941887859274	0.367133204633205	0.829157175398633	0.969539	0.991593504428904	0.67546102417807	0.0148475697440322	0.0275333333333333	0.0428571428571429	0.464759544554505
"file 078"	0.206110593130364	0.316619873046875	0.986441296384018	0.195679707289614	0.332599754257921	0.58967356359093	0.951367240444565	0.00170019835647492	0.436998309285062	0.853991596638655	0.9746005	0.998203489885409	0.716140859687928	0.0322116767328156	0.0597333333333333	0.082	0.483379499503998
"file 079"	0.0165926257637763	0.15406608581543	0.987212542834073	0.241673357512666	0.541608066893394	0.605167238931752	0.91554322995985	0.000470366886171214	1	0.791845493562232	0.9691995	0.989020094507859	0.604250716971878	0.0147397181478286	0.0273333333333333	0.0442857142857143	0.493938005337872
"file 080"	0.0278605717791678	0.132298469543457	0.987289796052957	0.265915492957747	0.535518855902628	0.602491282420494	0.900774193548387	0.00037233547426231	1	0.724	0.97068225	0.982131003513042	0.514137380880542	0.0157103825136612	0.0291333333333333	0.0471428571428571	0.483466137816408
"file 081"	0.365126815332216	0.148969888687134	0.946768128023521	0.257862375334647	0.583214253963421	0.570941814529472	0.913666651280563	0.000284252416145537	1	0.847914963205233	0.9689965	0.999833691045011	0.615973922298658	0.0413071613459879	0.0766	0.0654285714285714	0.525180561805661
"file 082"	0.3071676846809	0.178670883178711	0.961385872914446	0.280515117581187	0.653676921023718	0.609865111752411	0.91922570314316	0.000373482726423903	1	0.88550840672538	0.982998	0.999915237772245	0.62599145733835	0.041846419327006	0.0776	0.100571428571429	0.53908198292096
"file 083"	0.36461142724695	0.192797183990479	0.923143077906239	0.275181881830081	0.604447195601016	0.6057968609269	0.844579804458837	0.000371436530782802	1	0.817760617760618	0.969581	0.997847890735115	0.649379815005285	0.0440034512510785	0.0816	0.0945714285714286	0.529104566988426
"file 084"	0.404073575165273	0.198811292648315	0.961039012353898	0.285929364531711	0.626385232648635	0.58687687880572	0.914767671149762	0.000370576246062627	1	0.873354231974922	0.970109	0.999597882201183	0.648840086387451	0.0540336496980155	0.1002	0.0902857142857143	0.544667135506041
"file 085"	0.374470091906825	0.149250030517578	0.946940901704063	0.189911478880015	0.420287808040025	0.609780921438308	0.900659824046921	9.91768322919766e-05	1	0.757985257985258	0.9693185	0.998136044566739	0.682482618476764	0.026962899050906	0.05	0.0591428571428571	0.508464275661784
"file 086"	0.431958695711283	0.342410802841186	0.98398321486748	0.226012244687966	0.485721818482663	0.556273278384217	0.873108109808263	0.000369276218611521	1	0.790951638065523	0.9740165	0.999746269610209	0.689211554732218	0.0390422778257118	0.0724	0.0762857142857143	0.533843212220065
"file 087"	0.0179067844775826	0.0923919677734376	0.96468311224833	0.225938511759827	0.493401545189257	0.603018474429526	0.901740919645078	0.000288156757275958	1	0.77120822622108	0.9692515	0.996349625885159	0.574057557231896	0.0122950819672131	0.0228	0.04	0.480333216474104
"file 088"	0.166858892886525	0.182676315307617	0.949091214492673	0.258025951304855	0.568324568279285	0.610373634082896	0.912462823152597	0.000469307302421626	1	0.831205673758865	0.9709085	0.999445555749751	0.570229864959718	0.0232959447799827	0.0432	0.0488571428571429	0.508464086807146
"file 089"	0.136188523743527	0.165104866027832	0.937577499069198	0.230393502003183	0.498588361943626	0.610214154024102	0.921008438739615	0.000387822377351173	1	0.820185614849188	0.968017	0.999678134856406	0.628397737547295	0.0289761288467069	0.0537333333333333	0.0545714285714286	0.5033139091208
"file 090"	0.319527179128446	0.182867050170899	0.971330118633602	0.202208452877498	0.454240047104486	0.610091883838259	1	0.000378429517502365	1	0.779233870967742	0.9722465	0.999999706358825	0.697587753416822	0.0328947368421053	0.061	0.0751428571428571	0.52242178662494
"file 091"	0.418367333699266	0.2777099609375	0.960056200252432	0.274670095832951	0.637131764729143	0.560205785657953	0.877743734654136	0.000374181478016838	1	0.816929133858268	0.97073075	0.999912745628713	0.640958786278168	0.0506542996836353	0.0939333333333333	0.0777142857142857	0.541068274483612
"file 092"	0.205708944370673	0.17472505569458	0.920196046052957	0.252212389380531	0.577091683210167	0.59556252603796	0.85617439516129	0.000381970970206264	1	0.8984375	0.97033825	0.999713858478277	0.69024798966801	0.0435001438021283	0.0806666666666667	0.100857142857143	0.522863410146912
