Protein.ID	Gene.name	Group	Experiments where FN	Experiments where TP
P04406;P04406-2;O14556	GAPDH	no group	NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_20; NCBP1-LAP, multi-well_NCBP1_7; NCBP2-LAP, multi-well_NCBP2_10	NCBP1-LAP, multi-well_NCBP1_18; NCBP2-LAP, multi-well_NCBP2_7
P05141;Q9H0C2	SLC25A5	no group	NCBP2-LAP, multi-well_NCBP2_12; NCBP2-LAP, multi-well_NCBP2_18; NCBP2-LAP, multi-well_NCBP2_20	NCBP3-LAP, test tubes_NCBP3_7
P07437;A6NNZ2	TUBB	no group	NCBP3-LAP, test tubes_NCBP3_18; NCBP3-LAP, test tubes_NCBP3_7; NCBP2-LAP, multi-well_NCBP2_12; NCBP2-LAP, multi-well_NCBP2_20	NCBP1-LAP, multi-well_NCBP1_12
P08195-3;P08195;P08195-4;P08195-2	SLC3A2	no group	NCBP2-LAP, multi-well_NCBP2_20	NCBP1-LAP, multi-well_NCBP1_10
P08238;Q58FF7	HSP90AB1	no group	NCBP2-LAP, multi-well_NCBP2_18	NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_10
P08865	RPSA	no group	NCBP3-LAP, test tubes_NCBP3_12; NCBP1-LAP, multi-well_NCBP1_20; NCBP1-LAP, multi-well_NCBP1_7; NCBP2-LAP, multi-well_NCBP2_18; NCBP2-LAP, multi-well_NCBP2_20	NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_10; NCBP1-LAP, multi-well_NCBP1_12
P0DMV8;P0DMV9;P0DMV8-2	HSPA1A;HSPA1B	no group	NCBP1-LAP, multi-well_NCBP1_12	NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_10
P10809;P10809-2	HSPD1	no group	NCBP2-LAP, multi-well_NCBP2_10	NCBP1-LAP, multi-well_NCBP1_18
P11021	HSPA5	no group	NCBP2-LAP, multi-well_NCBP2_10; NCBP2-LAP, multi-well_NCBP2_14; NCBP2-LAP, multi-well_NCBP2_7	NCBP1-LAP, multi-well_NCBP1_10; NCBP1-LAP, multi-well_NCBP1_12; NCBP2-LAP, multi-well_NCBP2_12
P11142;P11142-2	HSPA8	no group	NCBP1-LAP, multi-well_NCBP1_10	NCBP3-LAP, test tubes_NCBP3_7
P13639	EEF2	no group	NCBP1-LAP, multi-well_NCBP1_18	NCBP2-LAP, multi-well_NCBP2_12
P14866;P14866-2	HNRNPL	no group	NCBP3-LAP, test tubes_NCBP3_10; NCBP2-LAP, multi-well_NCBP2_12; NCBP2-LAP, multi-well_NCBP2_20	NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_10; NCBP1-LAP, multi-well_NCBP1_12; NCBP1-LAP, multi-well_NCBP1_18; NCBP1-LAP, multi-well_NCBP1_20; NCBP1-LAP, multi-well_NCBP1_7; NCBP2-LAP, multi-well_NCBP2_18
P16989;P16989-2;P16989-3	YBX3	no group	NCBP3-LAP, test tubes_NCBP3_12	NCBP3-LAP, test tubes_NCBP3_18; NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_12; NCBP1-LAP, multi-well_NCBP1_7; NCBP2-LAP, multi-well_NCBP2_12
P18124	RPL7	no group	NCBP3-LAP, test tubes_NCBP3_12	NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_10; NCBP1-LAP, multi-well_NCBP1_12; NCBP2-LAP, multi-well_NCBP2_20
P19338	NCL	no group	NCBP1-LAP, multi-well_NCBP1_12; NCBP1-LAP, multi-well_NCBP1_14; NCBP2-LAP, multi-well_NCBP2_18	NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_10
P23246;P23246-2	SFPQ	no group	NCBP3-LAP, test tubes_NCBP3_7	NCBP2-LAP, multi-well_NCBP2_20
P23396;P23396-2	RPS3	no group	NCBP2-LAP, multi-well_NCBP2_12; NCBP2-LAP, multi-well_NCBP2_18	NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_10; NCBP1-LAP, multi-well_NCBP1_12; NCBP2-LAP, multi-well_NCBP2_20
P25705;P25705-2;P25705-3	ATP5A1	no group	NCBP1-LAP, multi-well_NCBP1_20	NCBP1-LAP, multi-well_NCBP1_10; NCBP1-LAP, multi-well_NCBP1_18
P26599;P26599-2;P26599-3	PTBP1	no group	NCBP3-LAP, test tubes_NCBP3_18	NCBP1-LAP, multi-well_NCBP1_12; NCBP1-LAP, multi-well_NCBP1_18; NCBP2-LAP, multi-well_NCBP2_12; NCBP2-LAP, multi-well_NCBP2_20
P27635;Q96L21	RPL10;RPL10L	no group	NCBP3-LAP, test tubes_NCBP3_12	NCBP2-LAP, multi-well_NCBP2_20
P35268	RPL22	no group	NCBP3-LAP, test tubes_NCBP3_12; NCBP1-LAP, multi-well_NCBP1_7	NCBP1-LAP, multi-well_NCBP1_12; NCBP1-LAP, multi-well_NCBP1_18
P39023;Q92901	RPL3	no group	NCBP3-LAP, test tubes_NCBP3_12	NCBP2-LAP, multi-well_NCBP2_20
P42704;Q9NP80-3;Q9NP80-2;Q9NP80	LRPPRC	no group	NCBP1-LAP, multi-well_NCBP1_18; NCBP2-LAP, multi-well_NCBP2_12	NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_10; NCBP1-LAP, multi-well_NCBP1_7
P43243;P43243-2	MATR3	no group	NCBP1-LAP, multi-well_NCBP1_14; NCBP1-LAP, multi-well_NCBP1_20	NCBP3-LAP, test tubes_NCBP3_12; NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_10; NCBP1-LAP, multi-well_NCBP1_12; NCBP1-LAP, multi-well_NCBP1_7; NCBP2-LAP, multi-well_NCBP2_10; NCBP2-LAP, multi-well_NCBP2_18; NCBP2-LAP, multi-well_NCBP2_20; NCBP2-LAP, multi-well_NCBP2_7
