Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
2_20b	NCBP2_20b	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		2804	12863	0	14984	10742	0	4242	3344	3229	0	115	22.32	30.06	NaN	2.71	2390	299738	10421	3.48	1283	12.31	37649	8664	8405	23.01	31.03	1429	16.49	+	0.6245	0.88207	0.38871	0.56633	
2_20c	NCBP2_20c	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		2935	12858	0	14981	10735	0	4246	3539	3482	0	57	23.62	32.44	NaN	1.34	2641	337805	10460	3.1	1300	12.43	41091	8604	8356	20.94	31.85	1507	17.52	+	0.62783	0.89662	0.38553	0.56583	
2_20d	NCBP2_20d	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		3545	10944	0	12937	8951	0	3986	2831	2735	0	96	21.88	30.56	NaN	2.41	2201	382137	8697	2.28	1109	12.75	37729	7043	6756	18.67	30.35	1251	17.76	+	0.63397	0.90532	0.38162	0.55974	
2_7a	NCBP2_7a	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		4380	8337	0	10988	5686	0	5302	607	585	0	22	5.52	10.29	NaN	0.41	343	392771	6104	1.55	935	15.32	32049	4313	3998	13.46	37.12	945	21.91	+	0.53469	0.73607	0.31138	0.43945	
2_7b	NCBP2_7b	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		4006	9394	0	11788	7000	0	4788	1270	1229	0	41	10.77	17.56	NaN	0.86	869	358004	7212	2.01	955	13.24	32568	5496	5217	16.88	36.2	1039	18.9	+	0.57837	0.79513	0.33309	0.45824	
2_7c	NCBP2_7c	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		3879	9862	0	12102	7622	0	4480	1067	1019	0	48	8.82	13.37	NaN	1.07	697	367826	7585	2.06	1062	14	34301	5873	5572	17.12	35.89	1152	19.62	+	0.6247	0.8549	0.38932	0.56064	
3_10a	NCBP3_10a	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		4206	8454	0	10752	6156	0	4596	480	463	0	17	4.46	7.52	NaN	0.37	340	342143	6733	1.97	763	11.33	28287	4961	4568	17.54	33.2	810	16.33	+	0.69404	0.91269	0.40051	0.5357	
3_10b	NCBP3_10b	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		5081	5817	0	7601	4033	0	3568	342	336	0	6	4.5	8.33	NaN	0.17	225	389281	4342	1.12	545	12.55	25337	3170	2895	12.51	29.52	557	17.57	+	0.63549	0.79905	0.35109	0.44105	
3_12b	NCBP3_12b	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		4620	7124	0	8833	5415	0	3418	459	444	0	15	5.2	8.2	NaN	0.44	334	358045	5567	1.55	733	13.17	26554	4332	4040	16.31	32.85	733	16.92	+	0.71336	0.92268	0.39611	0.52114	
3_12d	NCBP3_12d	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		3889	9497	0	11470	7524	0	3946	1713	1635	0	78	14.93	21.73	NaN	1.98	1188	347440	7559	2.18	894	11.83	29590	5977	5721	20.2	35.31	973	16.28	+	0.63747	0.87723	0.37249	0.52304	
